state2,state,race,lf7,lf13,punemp1,punemp4,punemp7,punemp13
Nevada,Nevada,314,145,433,5,4.6,8.199999999999999,5.2
New Hampshire,New Hampshire,6,8,13,6.4,6.3,19,11
New Hampshire,New Hampshire,6,9,14,5.9,5.9,10.3,11.9
New Hampshire,New Hampshire,7,10,14,5.4,5.3,8.699999999999999,8.800000000000001
New Hampshire,New Hampshire,5,9,22,5.6,5.6,8.4,10.5
New Hampshire,New Hampshire,6,9,23,5.2,5.2,12.6,6.1
New Hampshire,New Hampshire,6,10,22,4.2,4.2,7,10
New Hampshire,New Hampshire,6,,,3.4,3.5,,
New Hampshire,New Hampshire,7,,,2.8,2.8,,
New Hampshire,New Hampshire,7,,,2.8,2.5,,
New Jersey,New Jersey,457,589,813,9.1,8.4,14.2,11.6
New Jersey,New Jersey,592,603,852,9.300000000000001,8.699999999999999,15.1,10.2
New Jersey,New Jersey,624,606,896,9.4,8.699999999999999,15.8,11.3
New Jersey,New Jersey,596,617,886,9.5,8.9,15,10.3
New Jersey,New Jersey,551,626,897,8.199999999999999,7.5,13,8.199999999999999
New Jersey,New Jersey,544,633,859,6.7,6,11.5,7.5
New Jersey,New Jersey,539,629,820,5.8,5.2,10,7.6
New Jersey,New Jersey,624,614,818,4.9,4.4,7.3,5.5
New Jersey,New Jersey,533,656,779,4.6,3.8,7.9,5.1
New Mexico,New Mexico,202,23,383,7.6,7.5,7.8,10.3
New Mexico,New Mexico,207,23,375,8.5,7.8,18.8,9.1
New Mexico,New Mexico,212,24,389,7.4,6.9,20.8,9.4
New Mexico,New Mexico,243,22,406,7.1,6.9,6.6,8.9
New Mexico,New Mexico,253,21,403,7.2,6.3,8.199999999999999,8.5
New Mexico,New Mexico,202,26,409,7,5.7,12.5,7.4
New Mexico,New Mexico,168,27,407,6.8,5.7,6.5,6.4
New Mexico,New Mexico,189,26,417,6.8,5.4,2.1,6.5
New Mexico,New Mexico,154,26,417,6.1,5.3,7.1,6.1
New York,New York,1193,1492,1478,8.300000000000001,7.3,14.1,10.4
New York,New York,1144,1519,1468,8.5,7.6,14.5,11.8
New York,New York,1162,1492,1444,8.1,7.1,13.8,10.6
New York,New York,1140,1514,1569,8.699999999999999,7.9,13.8,11.5
New York,New York,990,1555,1545,7.6,6.6,13.1,11
New York,New York,984,1592,1539,6.4,5.3,10.7,8.5
New York,New York,1038,1600,1601,5.3,4.5,8.199999999999999,6.7
New York,New York,1084,1590,1546,4.8,4.2,7.5,6.5
New York,New York,1095,1588,1663,4.6,4,7.6,5.4
North Carolina,North Carolina,1945,956,290,10.4,9.199999999999999,14.8,13.6
North Carolina,North Carolina,2076,952,353,10.5,8.699999999999999,17.4,10.7
North Carolina,North Carolina,1959,990,350,10.5,8.1,19,9.199999999999999
North Carolina,North Carolina,1874,1038,344,9.199999999999999,7.2,15.6,8.800000000000001
North Carolina,North Carolina,1748,1013,419,7.9,6.5,12.6,9.6
North Carolina,North Carolina,1603,988,456,6.2,5,10.4,6.5
North Carolina,North Carolina,1653,1042,487,5.9,4.8,10.3,7.4
North Carolina,North Carolina,1705,1031,499,5,4,8.1,5.1
North Carolina,North Carolina,1447,1055,470,4.5,3.7,7.1,5.1
North Dakota,North Dakota,8,,,4.2,3.2,,
North Dakota,North Dakota,10,,,3.8,3.1,,
North Dakota,North Dakota,20,,,3.6,2.4,,
North Dakota,North Dakota,27,,,3.2,2.3,,
North Dakota,North Dakota,35,,,2.9,2.2,,
North Dakota,North Dakota,41,,12,2.8,2.2,,5.6
North Dakota,North Dakota,33,,,2.7,2.4,,
