state,race,lf1,lf4,lf7,lf13,punemp1,punemp4,punemp7,punemp13,WHM1,WHM2,WHM3,WHM4,WHM5,WHM6,WHM7,WHM8,WHM9,WHM1_2,WHF1,WHF2,WHF3,WHF4,WHF5,WHF6,WHF7,WHF8,WHF9,WHF1_2,BLKM1,BLKM2,BLKM3,BLKM4,BLKM5,BLKM6,BLKM7,BLKM8,BLKM9,BLKM1_2,BLKF1,BLKF2,BLKF3,BLKF4,BLKF5,BLKF6,BLKF7,BLKF8,BLKF9,BLKF1_2,HISPM1,HISPM2,HISPM3,HISPM4,HISPM5,HISPM6,HISPM7,HISPM8,HISPM9,HISPM1_2,HISPF1,HISPF2,HISPF3,HISPF4,HISPF5,HISPF6,HISPF7,HISPF8,HISPF9,HISPF1_2
Colorado,488,2738,2516,98,454,8.4,7.9,14,11.5,9191,83737,18521,38810,21858,26844,28602,14494,30923,41868,3512,74241,15080,37708,59182,1872,5533,4908,40919,26060,121,2520,1053,2395,2798,1194,3113,3101,5920,1179,69,2619,1220,2374,6276,172,547,1128,6236,898,330,5419,2654,6451,4730,9172,10974,15574,14255,3910,167,5529,2708,9122,12743,576,2943,6739,17702,2503
Colorado,503,2735,2468,106,486,8.1,8,9,12.6,9499,82027,19315,37961,22864,27633,29335,14628,31543,43949,3821,75730,15349,36729,60917,1648,5453,4362,42607,27124,127,2488,1185,2351,3056,1030,3676,2880,5934,1241,53,2700,1221,2536,6554,130,639,835,6775,897,355,5117,2914,6031,5102,9451,10988,14758,14159,3965,166,5852,2819,8998,13406,571,3195,6371,17824,2571
Colorado,482,2765,2506,107,503,6.6,6.3,11.3,9.9,9643,88198,19225,38402,23278,27483,29686,16142,33126,44094,4000,79638,15811,37141,60777,1642,5515,4621,44709,27107,127,2761,1162,2506,3290,1119,3807,3207,6319,1373,67,2854,1243,2664,7363,173,762,911,7285,980,362,5662,2840,6247,5112,10243,11652,15095,14174,4188,175,6191,2923,9120,13878,527,3239,6823,18975,2716
Colorado,488,2822,2553,107,501,4.9,4.6,10.8,6.4,9711,85650,18874,38343,23796,28872,30720,17551,32811,45553,3927,82030,15468,36884,60815,1545,5632,4878,45533,28047,136,2679,1181,2526,3442,1367,4214,3947,6385,1411,64,3089,1235,2846,7541,149,819,1076,8002,1038,359,5730,3051,6386,5435,13049,12733,16817,13316,4330,181,6681,2959,9667,14360,608,3534,7220,18910,2931
Colorado,496,2818,2533,107,481,3.9,3.8,5.9,5.5,10135,96957,19196,39634,24261,28154,32269,18770,34691,47309,4051,85067,16198,37106,60148,1609,6118,5248,47309,29781,122,3095,1211,2616,3375,1244,4597,4534,6465,1390,67,3202,1282,2992,7987,160,800,1359,8310,1006,362,6381,3137,6734,5331,11374,13392,16820,14040,4640,185,7136,3266,10121,14505,578,3675,6313,20142,3159
Colorado,615,2903,2581,129,534,3.3,3.2,4.8,4.7,10221,100680,19502,41265,24624,26832,32636,19545,35562,48632,4261,88547,16750,38227,60728,1549,6633,5834,49891,30912,137,3395,1284,2777,3505,1276,4999,4695,6397,1456,73,3409,1379,3439,8292,115,1026,1577,8505,1192,518,6919,3343,7477,5765,11346,13977,17219,14015,4942,354,7634,3487,10760,15004,550,4092,6794,21101,3371
Colorado,459,3017,2669,134,588,2.9,2.6,4.8,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,43,1890,1612,176,173,8.1,7.3,16.7,12.7,10163,58763,17508,24430,11753,26120,21677,10599,19041,35810,4144,70873,14923,22276,47021,2006,8837,4498,31760,22252,209,3229,1851,3334,2423,2462,5751,3615,8318,1640,162,6511,3378,4341,9166,595,2157,1260,17060,1462,200,2547,1486,3068,2067,2926,6883,5482,7807,1655,154,3548,1455,3813,6409,625,3851,2623,9957,1021
Connecticut,99,1892,1605,180,193,9.199999999999999,8.300000000000001,17.2,17.7,9894,59379,15659,23200,11781,24786,19966,10079,19416,35781,3873,70718,14767,20339,45288,2047,7931,4436,32394,22317,187,3209,1722,3101,2416,2384,5074,3388,8366,1619,156,6490,3360,3946,8671,572,1806,1346,16921,1489,202,2649,1528,3035,1945,2814,6234,5196,8035,1651,115,3513,1536,3561,6312,568,3404,2481,10203,1027
Connecticut,81,1916,1619,188,192,8.9,8.1,18.3,17.8,10101,60933,17053,23624,11813,24807,19194,9590,21183,35625,4149,72254,14561,20668,45040,1810,7641,4126,33318,22855,218,3290,1875,3043,2403,2342,5239,3345,9083,1587,167,6647,3437,4162,8330,556,2043,1335,17173,1541,224,2865,1722,2783,1976,2858,6475,4971,8066,1605,125,3786,1598,3698,6172,562,3897,2517,10087,1057
Connecticut,81,1881,1545,196,210,8.4,7.8,14.9,15.7,9782,61343,16561,23556,12123,23728,19111,9650,19927,35866,3924,71246,14070,21510,43795,1731,7520,4030,32859,23602,190,3508,1910,3108,2430,2278,5397,3444,8892,1653,163,7175,3418,4250,8097,515,2150,1196,18139,1560,213,3036,1739,2874,1940,2913,6466,5032,7960,1671,95,3920,1562,3902,6070,530,3967,2544,10225,1178
Connecticut,88,1852,1512,194,204,7.7,7,13.3,12.2,9680,61215,15652,23397,11955,23355,19727,9693,19838,35489,3999,72204,13687,22062,42167,1588,7433,4023,32287,23333,163,3696,1903,3194,2400,2198,5561,3747,9617,1676,148,7092,3273,4484,8044,477,2174,1844,17958,1573,217,3101,1644,3005,1953,2929,6560,5404,8248,1776,103,4116,1642,4231,6074,554,4024,3189,10669,1241
Connecticut,98,1893,1578,192,221,6.6,6,12.5,10.9,9315,59380,15236,21914,11212,22790,19217,10115,18604,35283,3878,71666,13022,20272,40353,1566,7170,3711,30982,23936,165,3647,1890,3001,2442,2104,5751,3794,9789,1625,139,7051,3148,4229,7966,434,2176,1674,19269,1654,233,3178,1628,2874,1952,2901,6561,5596,7956,1811,123,4237,1639,4025,6324,511,3959,2928,10957,1294
Connecticut,63,1892,1560,197,224,5.6,4.5,13.2,11.3,9320,60608,15685,21985,11172,21901,19328,9717,18619,35543,4035,72175,13719,20198,40435,1387,6917,3985,31466,24387,204,3856,2205,3107,2730,2227,6089,3887,10126,1696,196,7140,3309,4497,8687,455,2205,1473,19212,1748,270,3432,1733,3156,2077,3111,6742,5186,8933,1985,163,4612,1751,4347,6544,572,4064,2714,11972,1431
